yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
18862,5.25,NaN,0.23,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007881541,NaN,NaN,NaN,0.004414535,NaN,NaN,NaN,NaN
18863,5.51,NaN,0.225,NaN,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009926439,NaN,NaN,NaN,0.002836865,NaN,NaN,NaN,NaN
18864,5.64,NaN,0.22,NaN,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012139943,NaN,NaN,NaN,0.004098291,NaN,NaN,NaN,NaN
18871,5.67,NaN,0.228,NaN,0.338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010456366,NaN,NaN,NaN,0.004490108,NaN,NaN,NaN,NaN
18872,5.73,NaN,0.235,NaN,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01050055,NaN,NaN,NaN,0.002196856,NaN,NaN,NaN,NaN
18873,5.38,NaN,0.243,NaN,0.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013264125,NaN,NaN,NaN,0.006035453,NaN,NaN,NaN,NaN
18874,5.27,NaN,0.25,NaN,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01227218,NaN,NaN,NaN,0.005576043,NaN,NaN,NaN,NaN
18881,5.08,NaN,0.245,NaN,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010463715,NaN,NaN,NaN,0.002355337,NaN,NaN,NaN,NaN
18882,5.01,NaN,0.24,NaN,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009581049,NaN,NaN,NaN,0.003310177,NaN,NaN,NaN,NaN
18883,5.38,NaN,0.235,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009029281,NaN,NaN,NaN,0.00408713,NaN,NaN,NaN,NaN
18884,5.14,NaN,0.23,NaN,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009816589,NaN,NaN,NaN,0.003097958,NaN,NaN,NaN,NaN
18891,5.19,NaN,0.228,NaN,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008794035,NaN,NaN,NaN,0.00169904,NaN,NaN,NaN,NaN
18892,5.41,NaN,0.225,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007778489,NaN,NaN,NaN,0.001029763,NaN,NaN,NaN,NaN
18893,5.5,NaN,0.223,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009853256,NaN,NaN,NaN,0.001768867,NaN,NaN,NaN,NaN
18894,5.32,NaN,0.22,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012242836,NaN,NaN,NaN,0.002376367,NaN,NaN,NaN,NaN
18901,5.28,NaN,0.22,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010618182,NaN,NaN,NaN,0.000822796,NaN,NaN,NaN,NaN
18902,5.58,NaN,0.22,NaN,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010096086,NaN,NaN,NaN,0.00203603,NaN,NaN,NaN,NaN
18903,5.32,NaN,0.22,NaN,0.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010993132,NaN,NaN,NaN,0.003416886,NaN,NaN,NaN,NaN
18904,4.6,NaN,0.22,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013631245,NaN,NaN,NaN,0.016345347,NaN,NaN,NaN,NaN
18911,4.81,NaN,0.22,NaN,0.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010765176,NaN,NaN,NaN,0.003507799,NaN,NaN,NaN,NaN
18912,4.85,NaN,0.22,NaN,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010677013,NaN,NaN,NaN,0.004323382,NaN,NaN,NaN,NaN
18913,5.33,NaN,0.22,NaN,0.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011537221,NaN,NaN,NaN,0.004666435,NaN,NaN,NaN,NaN
18914,5.41,NaN,0.22,NaN,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010316635,NaN,NaN,NaN,0.003625916,NaN,NaN,NaN,NaN
18921,5.58,NaN,0.225,NaN,0.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007638644,NaN,NaN,NaN,0.003891017,NaN,NaN,NaN,NaN
18922,5.54,NaN,0.23,NaN,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005982059,NaN,NaN,NaN,0.002117204,NaN,NaN,NaN,NaN
18923,5.48,NaN,0.235,NaN,0.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007866631,NaN,NaN,NaN,0.002783218,NaN,NaN,NaN,NaN
18924,5.51,NaN,0.24,NaN,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010559364,NaN,NaN,NaN,0.00209472,NaN,NaN,NaN,NaN
18931,5.31,NaN,0.243,NaN,0.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011345531,NaN,NaN,NaN,0.003858669,NaN,NaN,NaN,NaN
18932,4.61,NaN,0.245,NaN,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014313582,NaN,NaN,NaN,0.010667324,NaN,NaN,NaN,NaN
18933,4.37,NaN,0.248,NaN,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020806084,NaN,NaN,NaN,0.031569313,NaN,NaN,NaN,NaN
18934,4.41,NaN,0.25,NaN,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009197989,NaN,NaN,NaN,0.008489084,NaN,NaN,NaN,NaN
18941,4.51,NaN,0.24,NaN,0.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006151449,NaN,NaN,NaN,0.004715172,NaN,NaN,NaN,NaN
18942,4.34,NaN,0.23,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005510718,NaN,NaN,NaN,0.003389046,NaN,NaN,NaN,NaN
18943,4.48,NaN,0.22,NaN,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005812694,NaN,NaN,NaN,0.004169362,NaN,NaN,NaN,NaN
18944,4.3,NaN,0.21,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005135045,NaN,NaN,NaN,0.004465158,NaN,NaN,NaN,NaN
18951,4.19,NaN,0.205,NaN,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006755189,NaN,NaN,NaN,0.003497177,NaN,NaN,NaN,NaN
