yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1919,8.92,0.530,0.930,NaN,NaN,0.0573,0.0777,0.0490,NaN,NaN,0.0435977553,0.1457532224,NaN,NaN,NaN,0.0245407923,NaN,NaN,NaN,NaN
1920,6.81,0.510,0.800,NaN,0.0588,0.0626,0.0856,0.0540,NaN,NaN,0.0541100520,0.0212383224,NaN,NaN,NaN,0.0334077996,NaN,NaN,NaN,NaN
1921,7.31,0.460,0.290,0.5965346535,0.0390,0.0550,0.0761,0.0447,NaN,NaN,0.0481852661,-0.1078699549,NaN,NaN,NaN,0.0190191204,NaN,NaN,NaN,NaN
1922,8.78,0.510,0.690,0.4726494856,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.0346662676,-0.0254839022,NaN,NaN,NaN,0.0147131012,NaN,NaN,NaN,NaN
1923,8.55,0.530,0.980,0.5402010050,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.0392439772,0.0256188543,NaN,NaN,NaN,0.0156969065,NaN,NaN,NaN,NaN
1924,10.16,0.550,0.930,0.4588830802,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.0270511020,-0.0019931737,NaN,NaN,NaN,0.0107215617,NaN,NaN,NaN,NaN
1925,12.46,0.600,1.250,0.3893782714,0.0351,0.0485,0.0615,0.0380,NaN,NaN,0.0302197396,0.0383283257,NaN,NaN,NaN,0.0135285056,NaN,NaN,NaN,NaN
1926,13.49,0.690,1.240,0.4414758270,0.0307,0.0468,0.0568,0.0354,NaN,0.0756585186,0.0322813991,-0.0150973837,NaN,0.0776952395,0.0737444051,0.0184858699,NaN,NaN,0.1219394133,0.0656407177
1927,17.66,0.770,1.110,0.3746885899,0.0317,0.0446,0.0532,0.0316,NaN,0.0691072643,0.0309099605,-0.0211756023,0.2655123544,0.0894486276,0.0744363694,0.0112733640,NaN,NaN,0.3579654308,0.2937187344
1928,24.35,0.850,1.380,0.2596666667,0.0426,0.0461,0.0560,0.0340,NaN,0.0260785260,0.0396169307,-0.0097931643,0.4974292871,0.0008272461,0.0284115621,0.0219510029,NaN,NaN,0.3896655751,0.3344198623
1929,21.45,0.970,1.610,0.3384578236,0.0303,0.0467,0.0595,0.0340,NaN,0.1658121056,0.0441174919,0.0018297138,0.7205929402,0.0340994674,0.0327300407,0.1333783883,NaN,NaN,-0.0760399439,-0.1093614218
1930,15.34,0.980,0.970,0.5547454126,0.0148,0.0452,0.0671,0.0330,NaN,0.1198418563,0.0222688309,-0.0606650910,0.3078474884,0.0464291951,0.0797505246,0.0718041091,NaN,NaN,-0.2633095088,-0.2962308835
1931,8.12,0.820,0.610,1.1707317073,0.0241,0.0532,0.1042,0.0407,NaN,0.0044195365,0.0114596453,-0.0957114941,0.1446646984,-0.0531573493,-0.0185098199,0.1523815908,NaN,NaN,-0.4564879409,-0.4904738936
1932,6.89,0.500,0.410,1.4420843014,0.0004,0.0459,0.0842,0.0315,NaN,0.0089241521,0.0077935554,-0.1035777048,0.0372670807,0.1684521131,0.1082022408,0.2863885459,NaN,NaN,-0.0914243506,-0.1504008121
1933,10.10,0.440,0.440,0.8290260464,0.0029,0.0450,0.0775,0.0336,NaN,0.0100570060,0.0025575455,0.0042985847,0.4010554090,-0.0006930265,0.1037605627,0.2174557094,NaN,NaN,0.5464967435,0.4865098768
