yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19984,"1,229.23",16.195,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.0050613697,0.0200632552,0.0109750000,0.0018337408,-0.0154720633,0.0084944870,0.0103952366,-0.0010338728,0.0428013236,0.2157151690,0.2115401640,4.002,8.560
19991,"1,286.37",16.449,38.380,0.1728971707,0.0444,0.0662,0.0753,0.0592,0.0016673445,0.0206772204,0.0111000000,0.0067114094,-0.0412967766,-0.0280988886,0.0100313057,-0.0010753509,0.0428087021,0.0488474116,0.0455069190,4.010,10.960
19992,"1,372.71",16.448,41.020,0.1542274468,0.0457,0.0723,0.0802,0.0627,0.0066545041,0.0188750654,0.0114250000,0.0072727273,-0.0241106270,-0.0356384358,0.0082215328,-0.0011446288,0.0431648532,0.0686976319,0.0650115715,4.181,12.510
19993,"1,282.71",16.641,43.960,0.1636844982,0.0468,0.0739,0.0820,0.0646,0.0090140649,0.0203906807,0.0117000000,0.0102286402,-0.0046680472,-0.0046996168,0.0070460050,-0.0009857026,0.0435839487,-0.0621528323,-0.0653110686,4.448,11.930
19994,"1,469.25",16.692,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,0.0062530200,0.0179001767,0.0130000000,0.0023823705,-0.0226796435,-0.0079346249,0.0073789637,0.0000642780,0.0429439829,0.1543832368,0.1510380786,4.053,12.770
20001,"1,498.58",16.762,50.950,0.1499735618,0.0569,0.0768,0.0837,0.0618,-0.0058069706,0.0183014257,0.0142250000,0.0172311349,0.0883296505,0.0241003435,0.0148851161,0.0001848837,0.0436900621,0.0257730063,0.0228067827,4.080,13.740
20002,"1,454.60",16.704,51.920,0.1567779616,0.0569,0.0767,0.0848,0.0622,0.0039572938,0.0071410264,0.0142250000,0.0070093458,0.0111248414,0.0042914259,0.0154869621,-0.0002467433,0.0442448239,-0.0283599733,-0.0310714470,4.123,13.480
20003,"1,436.51",16.347,53.700,0.1537894629,0.0600,0.0762,0.0835,0.0612,0.0029230088,0.0044838585,0.0150000000,0.0075406032,0.0253602714,0.0363872016,0.0047047293,-0.0005084875,0.0438671442,-0.0056421038,-0.0083851304,4.091,13.710
20004,"1,320.28",16.271,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,0.0118690910,-0.0022502465,0.0144250000,0.0017271157,0.0767406057,0.0587531454,0.0141398687,-0.0005248530,0.0431685640,-0.0768149507,-0.0795491521,3.977,9.070
20011,"1,160.33",15.973,45.440,0.1331135514,0.0442,0.0698,0.0784,0.0559,0.0030225900,-0.0051995393,0.0110500000,0.0126436782,0.0120644393,0.0460136678,0.0146091270,-0.0018640665,0.0420562161,-0.1213082778,-0.1239700047,3.782,9.180
20012,"1,224.42",15.686,36.790,0.1252094328,0.0349,0.0718,0.0797,0.0590,0.0045117928,0.0050429431,0.0087250000,0.0102156640,-0.0194513944,0.0057323107,0.0114708260,-0.0015922058,0.0404120145,0.0586350198,0.0554551380,3.836,4.830
20013,"1,040.94",15.736,28.310,0.1486285882,0.0264,0.0717,0.0803,0.0542,0.0100573483,0.0086538503,0.0066000000,0.0016853933,0.0675522539,0.0362687600,0.0122886671,-0.0018229150,0.0392782437,-0.1467230479,-0.1498055762,4.141,5.230
20014,"1,148.08",15.740,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0038888019,0.0134699167,0.0042250000,-0.0089736399,-0.0211326364,0.0148617340,0.0072370634,-0.0013361672,0.0376034078,0.1098213897,0.1058500653,3.981,5.450
20021,"1,147.39",15.730,24.700,0.2368334023,0.0179,0.0681,0.0811,0.0604,0.0025021478,0.0137640686,0.0044750000,0.0118845501,-0.0192512993,0.0003210388,0.0067665453,-0.0022385902,0.0363810744,0.0027864087,-0.0006014951,3.772,9.190
20022,989.81,16.039,26.740,0.2665725018,0.0170,0.0663,0.0795,0.0566,0.0034872123,0.0275349472,0.0042500000,0.0061521253,0.0620574000,0.0444551570,0.0101293111,-0.0026067905,0.0355660401,-0.1347992581,-0.1381593054,4.145,6.870
20023,815.29,15.799,30.040,0.3245551555,0.0163,0.0615,0.0740,0.0480,0.0083676622,0.0293091110,0.0040750000,0.0061145081,0.1230629369,0.0898407010,0.0321181305,-0.0032126151,0.0350796214,-0.1690639049,-0.1727613394,3.901,8.530
20024,879.82,16.074,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0106248649,0.0257389200,0.0029750000,-0.0005524862,0.0073677451,0.0243796368,0.0186782399,-0.0041443054,0.0342621703,0.0850204225,0.0798847865,4.256,3.000
20031,848.18,16.224,30.320,0.2861177008,0.0113,0.0589,0.0695,0.0490,0.0175842921,0.0241014888,0.0028250000,0.0182421227,0.0081549180,0.0203269965,0.0138678061,NaN,0.0341160074,-0.0315387316,-0.0360380855,3.922,11.920
